Word	Frequency	Posting list
anastasia	2	[122, 123]
advertisement	1	[6]
stargate	1	[1359]
trouble	3	[229, 1790, 1880]
order	1	[692]
punch	1	[1143]
blandings	1	[998]
lunch	1	[1024]
terror	1	[1416]
babettes	1	[161]
carrie	1	[1906]
bat	1	[183]
goldmember	1	[156]
1992	4	[78, 1061, 1249, 1476]
noon	2	[719, 1287]
2001	12	[205, 427, 504, 698, 701, 1043, 1083, 1398, 1542, 1593, 1690, 1838]
romeo	3	[1203, 1204, 1205]
pride	1	[353]
55	1	[16]
heavyweight	1	[709]
tract	1	[1416]
jackie	2	[723, 794]
blue	13	[42, 251, 252, 253, 254, 256, 438, 854, 977, 1104, 1474, 1475, 1843]
petra	1	[1469]
tonight	1	[909]
beauty	1	[196]
mighty	2	[39, 1668]
league	2	[34, 926]
tom	1	[1854]
russian	1	[1220]
bob	1	[800]
restoration	1	[1178]
harold	1	[688]
negotiator	1	[1679]
aquatic	1	[1628]
adaptation	1	[60]
bravo	1	[1185]
act	1	[1310]
american	10	[109, 110, 112, 113, 116, 117, 118, 1323, 1437, 1938]
rio	2	[1185, 1418]
dorado	1	[1732]
chamber	1	[689]
brown	3	[794, 1151, 1486]
fever	3	[317, 812, 1237]
boiled	1	[684]
cellini	1	[1435]
1948	3	[679, 1066, 1725]
gilbert	1	[1943]
manon	1	[939]
he	1	[717]
york	6	[553, 633, 714, 837, 1036, 1266]
flintstone	1	[1550]
rudyard	1	[1212]
patriot	1	[1700]
holland	1	[1002]
castle	2	[688, 698]
fear	3	[328, 1377, 1797]
conspiracy	1	[410]
melody	3	[292, 959, 1485]
starsky	1	[1362]
chasing	1	[365]
mouse	2	[1061, 1579]
kaspar	1	[1534]
blowup	1	[250]
high	8	[718, 719, 720, 721, 1181, 1195, 1206, 1886]
reloaded	1	[1664]
delicatessen	1	[462]
talk	1	[1770]
im	1	[751]
east	1	[528]
land	4	[414, 769, 859, 1043]
branded	1	[274]
laugh	1	[1620]
bright	2	[285, 286]
tommy	1	[1857]
eden	2	[528, 533]
jeremiah	1	[801]
pie	1	[663]
mermaid	1	[1634]
scary	1	[1248]
war	2	[695, 1928]
those	2	[765, 1829]
no	2	[1043, 1123]
shes	2	[717, 1292]
husband	1	[745]
something	2	[1325, 1820]
vertigo	1	[1912]
fargo	1	[571]
topaz	1	[1863]
linvincibile	1	[153]
quest	1	[630]
ravenous	1	[1165]
matrix	3	[1663, 1664, 1665]
dozen	2	[366, 1523]
kravitz	1	[1441]
king	14	[79, 133, 831, 832, 833, 834, 835, 836, 837, 1548, 1632, 1633, 1740, 1833]
sin	2	[1083, 1752]
equilibrium	1	[549]
victory	1	[286]
rescuer	2	[1727, 1728]
sense	2	[1264, 1754]
shawshank	1	[1747]
gorgeous	1	[516]
hannibal	1	[681]
favorite	1	[1016]
me	12	[289, 323, 344, 839, 909, 954, 1120, 1200, 1299, 1358, 1821, 1984]
stop	1	[312]
outlaw	1	[1693]
planner	1	[1799]
bull	1	[306]
dune	1	[524]
opera	3	[40, 1703, 1704]
douce	1	[784]
chill	1	[1458]
gun	4	[675, 1860, 1989, 1990]
manxman	1	[1657]
bram	1	[273]
lemora	1	[874]
straw	1	[1373]
affliction	1	[64]
flash	1	[592]
skull	1	[1755]
arm	1	[1654]
siren	1	[1309]
express	3	[454, 967, 1285]
being	1	[208]
waiting	2	[1921, 1922]
blazing	1	[244]
place	3	[766, 1336, 1872]
railroad	1	[1828]
iv	1	[1199]
hill	7	[217, 218, 678, 739, 740, 1052, 1625]
60	1	[657]
wage	1	[1797]
bringing	1	[290]
oharu	1	[1631]
dr	7	[506, 507, 508, 509, 510, 1425, 1490]
iwo	1	[1234]
troy	1	[1881]
still	2	[754, 1517]
wife	3	[35, 745, 1468]
splash	1	[1349]
this	2	[1826, 1827]
northwest	1	[1048]
dancing	1	[481]
nyay	1	[431]
defiant	1	[1520]
13	2	[4, 143]
drunk	1	[1143]
far	1	[21]
philosopher	1	[693]
his	3	[724, 998, 1851]
want	2	[755, 1942]
joon	1	[214]
total	1	[1868]
1950	3	[294, 376, 575]
crush	2	[251, 427]
iron	3	[785, 1141, 1608]
talking	2	[900, 901]
edge	1	[1530]
kant	1	[1469]
crusade	1	[776]
destry	1	[469]
beethoven	3	[199, 200, 201]
road	4	[1187, 1188, 1732, 1836]
gothika	1	[666]
shock	1	[1295]
cooler	1	[1505]
scarlet	1	[1246]
bus	1	[312]
ranch	1	[959]
cecil	1	[351]
worst	1	[1945]
2nd	1	[200]
became	1	[1604]
tender	1	[1415]
brotherhood	1	[298]
ator	1	[153]
ride	3	[469, 1181, 1182]
tap	1	[1826]
when	3	[1946, 1947, 1948]
charlies	1	[362]
x	3	[110, 930, 1813]
bishop	1	[1468]
sun	2	[522, 543]
fish	4	[27, 226, 1095, 1214]
corruptor	1	[1506]
frighteners	1	[1557]
cracker	1	[132]
96	1	[1054]
grit	1	[1882]
suspicion	1	[1392]
cannibal	2	[324, 325]
general	1	[1561]
against	1	[68]
what	5	[750, 754, 1940, 1941, 1942]
greatest	1	[1584]
well	1	[1448]
cell	1	[1495]
revolution	1	[1665]
look	3	[497, 900, 901]
aguirre	1	[70]
love	15	[48, 62, 906, 907, 908, 909, 910, 911, 912, 1280, 1299, 1644, 1645, 1944, 1948]
aim	1	[71]
1956	3	[122, 721, 1774]
angel	7	[127, 128, 129, 130, 362, 381, 558]
confused	1	[449]
agreement	1	[636]
mad	3	[920, 921, 922]
defence	1	[1646]
wedding	6	[113, 1010, 1012, 1013, 1799, 1800]
velvet	1	[1911]
searcher	1	[1743]
dangerfield	1	[1210]
washington	1	[1003]
kolberg	1	[842]
jay	1	[800]
office	1	[1062]
shanghai	3	[1285, 1287, 1288]
robot	2	[752, 1194]
q	1	[806]
chicago	3	[368, 369, 763]
pirate	1	[1472]
sunset	3	[66, 204, 1383]
valley	1	[1793]
roxy	1	[1935]
platoon	1	[1119]
1984	3	[6, 599, 1615]
1954	1	[653]
stolen	1	[1368]
wonka	1	[1961]
sabbath	1	[236]
lovely	1	[450]
shrooms	1	[1303]
burbs	1	[1488]
1946	1	[1051]
cousine	1	[417]
mackennas	1	[919]
liberty	2	[365, 1651]
airport	2	[76, 77]
triplet	1	[1789]
testament	1	[1417]
poko	1	[1125]
stand	1	[1358]
water	1	[1078]
conversation	1	[1504]
cherry	1	[367]
u	1	[1897]
beetlejuice	1	[202]
circuit	1	[1297]
salvador	1	[1232]
hindenburg	1	[1590]
madelon	1	[1752]
silent	5	[800, 1216, 1304, 1305, 1306]
give	2	[765, 1326]
series	2	[1054, 1480]
brief	1	[283]
marietta	1	[1031]
record	1	[542]
apartment	1	[1439]
desert	1	[1331]
omen	1	[1689]
extra	1	[527]
alabama	1	[1397]
actually	1	[906]
town	3	[270, 1000, 1770]
business	2	[1186, 1946]
only	1	[1077]
extremely	1	[119]
emile	1	[1630]
madness	1	[771]
hair	1	[677]
manderlay	1	[935]
within	1	[1969]
other	2	[1691, 1692]
bridge	3	[21, 1004, 1484]
traffic	2	[708, 1873]
dam	1	[980]
play	4	[372, 374, 607, 1120]
seabiscuit	1	[1256]
dollar	2	[28, 600]
baker	1	[1538]
bourne	2	[1478, 1479]
raise	1	[1158]
galaxy	2	[630, 1592]
navigator	1	[1678]
neighbor	1	[1019]
1958	2	[511, 1551]
miller	2	[951, 970]
101	1	[1]
barrel	1	[897]
strictly	1	[1375]
parent	2	[957, 1696]
experiment	2	[441, 1705]
empire	3	[542, 543, 1540]
jima	1	[1234]
strange	2	[1370, 1604]
capricorn	1	[330]
feast	2	[161, 245]
anarchist	1	[121]
casablanca	1	[336]
professor	1	[1686]
fat	3	[225, 573, 1013]
wear	1	[451]
josey	1	[1693]
da	2	[440, 441]
clean	1	[385]
mean	1	[952]
vampyr	1	[1907]
dance	2	[347, 435]
footloose	1	[599]
bombay	1	[259]
fabulous	1	[1538]
but	3	[142, 1046, 1050]
billy	2	[231, 232]
st	4	[954, 1352, 1456, 1575]
society	3	[452, 721, 962]
not	3	[992, 1812, 1848]
mouth	1	[771]
titan	1	[1845]
colette	1	[137]
mortal	1	[991]
gotta	1	[1326]
diaboliques	1	[875]
lancer	1	[1635]
practical	1	[1130]
innerspace	1	[779]
1991	4	[196, 576, 760, 1077]
mexico	1	[1069]
music	2	[1011, 1677]
virtuosity	1	[1916]
kindergarten	1	[830]
goofy	2	[29, 119]
stood	1	[1517]
fly	4	[597, 1384, 1551, 1553]
chain	2	[748, 1778]
saving	1	[1240]
ugly	1	[1572]
color	1	[1501]
bobby	1	[1257]
britain	1	[192]
cold	2	[396, 756]
they	4	[1821, 1822, 1823, 1824]
7	1	[1192]
jazz	1	[97]
newsies	1	[1037]
go	7	[94, 651, 688, 879, 1000, 1003, 1213]
1998	6	[145, 485, 1323, 1445, 1889, 1953]
hardly	1	[327]
robbery	1	[1581]
babysitting	1	[63]
thread	1	[1830]
prisoner	1	[694]
dangerous	1	[406]
sally	1	[1947]
modesty	1	[1018]
given	1	[140]
power	1	[156]
gwangi	1	[1793]
liar	2	[225, 880]
victor	1	[1914]
claudet	1	[1752]
proper	1	[911]
late	1	[864]
second	1	[657]
open	2	[1078, 1079]
creepshow	1	[421]
below	1	[583]
spy	1	[1351]
president	2	[456, 1437]
salt	1	[1231]
hazzard	1	[1529]
france	1	[611]
monster	7	[282, 950, 983, 984, 985, 1094, 1746]
making	2	[927, 928]
flight	1	[1549]
nun	1	[1055]
punctured	1	[1840]
vacation	2	[809, 1028]
switch	1	[43]
player	1	[1708]
meeting	1	[958]
godzilla	3	[653, 654, 835]
scene	1	[239]
3	4	[374, 729, 1248, 1347]
cube	1	[428]
truly	1	[1884]
killer	1	[1616]
dictator	1	[1577]
rover	1	[1210]
cocoon	1	[395]
airplane	1	[75]
roll	1	[1195]
spirited	1	[1348]
higher	1	[722]
bell	1	[1456]
tokyo	3	[468, 1852, 1853]
rless	1	[1991]
monkey	1	[3]
babysitter	1	[499]
commissar	1	[403]
ghostbusters	2	[643, 644]
waterboy	1	[1798]
labour	1	[912]
sergeant	1	[1266]
duddy	1	[1441]
van	1	[1908]
oclock	1	[1886]
pink	1	[1133]
easy	2	[530, 958]
mask	4	[947, 1539, 1660, 1661]
1969	3	[500, 1863, 1882]
fiction	1	[1140]
warrior	1	[1421]
1962	2	[328, 1655]
musical	1	[325]
problem	1	[1138]
force	2	[73, 628]
famous	1	[99]
johnson	2	[801, 809]
momma	1	[227]
voyage	2	[1424, 1639]
medallion	1	[1666]
four	1	[608]
charm	1	[1524]
duke	1	[1529]
manhattan	1	[936]
steel	1	[1365]
knight	2	[33, 1891]
alice	4	[81, 82, 84, 85]
ginger	1	[646]
than	1	[1371]
elliot	1	[231]
jayenge	1	[479]
suspect	2	[1391, 1792]
adele	1	[1761]
1929	1	[1089]
style	2	[487, 1955]
hospital	1	[1595]
frantic	1	[613]
kangaroo	1	[820]
cowboy	1	[518]
groove	1	[1532]
1985	5	[85, 348, 445, 1396, 1972]
1925	1	[1703]
seattle	1	[1316]
trilogy	1	[1442]
trooper	1	[1361]
w	1	[1225]
animal	1	[132]
men	9	[451, 588, 960, 961, 1021, 1061, 1073, 1829, 1834]
ziegfeld	1	[1583]
thunderbird	1	[1837]
sonatine	1	[1329]
half	1	[691]
la	7	[784, 848, 849, 850, 851, 870, 1917]
charlie	1	[1151]
secret	5	[689, 1259, 1261, 1744, 1862]
clockwise	1	[388]
notice	1	[1894]
terminal	1	[1775]
must	3	[1204, 1568, 1709]
mind	2	[406, 554]
earth	7	[7, 504, 811, 1231, 1517, 1570, 1584]
darby	1	[437]
detour	1	[470]
weed	1	[596]
weeping	1	[1764]
2004	12	[147, 385, 443, 586, 730, 803, 933, 1412, 1555, 1564, 1704, 1796]
frequency	1	[620]
contact	1	[411]
state	3	[634, 700, 1422]
treatment	1	[1295]
flirting	2	[594, 595]
simple	1	[246]
destination	2	[467, 468]
neverland	1	[582]
scarface	2	[1244, 1245]
cassidy	1	[314]
pinocchio	2	[1118, 1432]
bodyguard	1	[1476]
panic	1	[1090]
close	1	[389]
and	75	[37, 38, 48, 53, 79, 98, 120, 126, 133, 137, 196, 198, 260, 314, 398, 409, 437, 449, 454, 507, 510, 570, 573, 676, 689, 690, 691, 692, 693, 694, 723, 737, 738, 745, 776, 797, 800, 810, 828, 829, 855, 897, 910, 950, 1004, 1038, 1061, 1073, 1074, 1192, 1205, 1206, 1233, 1264, 1273, 1312, 1320, 1322, 1408, 1431, 1449, 1454, 1542, 1563, 1572, 1604, 1629, 1716, 1720, 1767, 1828, 1834, 1843, 1844, 1992]
1941	2	[1539, 1811]
revenge	2	[129, 1179]
carla	1	[409]
science	1	[1934]
off	3	[216, 565, 578]
edward	1	[535]
12	1	[3]
strangelove	1	[508]
usual	1	[1792]
annie	1	[765]
parallax	1	[1695]
ulees	1	[1898]
poet	1	[452]
11	2	[566, 1058]
star	1	[591]
journey	2	[230, 811]
tail	1	[116]
jacob	1	[795]
french	2	[619, 1556]
gang	3	[633, 748, 1763]
malone	1	[305]
trinity	1	[1821]
teenage	1	[407]
view	1	[1695]
hart	1	[695]
proposal	1	[774]
eye	2	[348, 1079]
youth	1	[1395]
sand	2	[738, 1234]
ending	1	[727]
shane	1	[1284]
pearl	1	[1101]
iii	3	[166, 814, 1567]
carlitos	1	[332]
willy	2	[617, 1961]
conqueror	2	[1103, 1502]
micheles	1	[1206]
1978	4	[400, 704, 924, 1640]
club	1	[1483]
1982	2	[1781, 1786]
slayer	1	[303]
nutty	1	[1686]
diary	2	[1672, 1714]
1951	2	[84, 1148]
commandment	1	[1774]
train	3	[1217, 1372, 1581]
sixth	2	[1606, 1754]
lion	2	[1632, 1633]
pool	1	[1401]
factory	2	[1554, 1961]
whole	1	[1802]
roy	1	[1189]
across	1	[1429]
your	3	[334, 1079, 1151]
charade	1	[359]
education	2	[263, 534]
yesterday	1	[1077]
amadeus	1	[104]
buffy	1	[303]
disguise	1	[1662]
tramp	1	[855]
tomcat	1	[1856]
picture	1	[1621]
sharp	1	[197]
buck	2	[1888, 1900]
emperor	2	[1532, 1618]
theatre	1	[1817]
caligari	1	[1490]
absence	1	[57]
came	1	[787]
amores	1	[115]
machuca	1	[918]
dime	1	[398]
ryans	1	[1222]
schneemann	1	[465]
broadway	3	[292, 308, 1485]
brian	1	[987]
ishtar	1	[786]
elephant	2	[539, 1531]
file	1	[1813]
1957	2	[1521, 1973]
desk	1	[466]
vep	1	[783]
vadis	1	[1148]
t	6	[509, 527, 564, 1225, 1772, 1991]
1931	3	[507, 612, 1406]
too	2	[21, 901]
driving	1	[515]
1955	1	[1366]
maguire	1	[802]
apu	1	[1442]
pumping	1	[1141]
naughty	1	[1031]
bonnie	1	[260]
delancey	1	[425]
box	4	[1011, 1089, 1480, 1677]
murder	1	[1009]
licence	1	[882]
versus	1	[804]
angry	1	[1438]
working	1	[1977]
dick	1	[474]
suburban	1	[1376]
by	5	[366, 517, 1009, 1048, 1358]
hour	4	[10, 610, 1072, 1218]
zapata	1	[1918]
manchu	1	[1660]
ninth	2	[1683, 1684]
tracy	1	[474]
horizon	1	[903]
1970	2	[76, 1032]
garden	1	[634]
shaft	2	[1278, 1279]
coast	1	[1671]
ring	2	[1184, 1640]
rudy	1	[1211]
living	4	[928, 1604, 1636, 1815]
enchanted	1	[544]
quatermain	1	[98]
awake	1	[1953]
one	15	[73, 330, 765, 789, 1071, 1072, 1073, 1074, 1075, 1076, 1464, 1520, 1690, 1768, 1805]
hunting	1	[662]
snow	1	[1322]
steamboy	1	[1364]
reef	1	[496]
the	486	[40, 41, 45, 49, 56, 66, 67, 68, 70, 79, 98, 133, 134, 147, 154, 164, 165, 166, 191, 196, 210, 213, 219, 282, 289, 303, 314, 325, 366, 389, 398, 399, 405, 418, 420, 434, 437, 442, 443, 445, 454, 488, 499, 509, 510, 522, 527, 543, 546, 554, 575, 576, 584, 588, 601, 602, 624, 689, 690, 691, 692, 693, 694, 715, 730, 732, 733, 767, 769, 770, 771, 772, 776, 781, 787, 797, 804, 810, 811, 854, 855, 859, 873, 911, 934, 957, 964, 988, 993, 1025, 1046, 1055, 1067, 1070, 1086, 1103, 1156, 1158, 1181, 1182, 1192, 1202, 1208, 1212, 1231, 1235, 1238, 1277, 1290, 1302, 1312, 1320, 1322, 1330, 1331, 1336, 1367, 1390, 1408, 1420, 1421, 1422, 1423, 1424, 1425, 1426, 1427, 1428, 1429, 1430, 1431, 1432, 1434, 1435, 1436, 1437, 1438, 1439, 1440, 1441, 1442, 1443, 1444, 1445, 1446, 1447, 1448, 1449, 1453, 1454, 1455, 1456, 1457, 1458, 1459, 1460, 1461, 1463, 1464, 1466, 1467, 1468, 1469, 1470, 1471, 1472, 1473, 1474, 1475, 1476, 1477, 1478, 1479, 1480, 1481, 1483, 1484, 1485, 1486, 1487, 1488, 1490, 1491, 1492, 1493, 1494, 1495, 1496, 1497, 1498, 1499, 1500, 1501, 1502, 1504, 1505, 1506, 1507, 1508, 1509, 1510, 1511, 1512, 1515, 1516, 1517, 1518, 1519, 1520, 1521, 1523, 1524, 1525, 1526, 1528, 1529, 1530, 1531, 1532, 1533, 1534, 1536, 1537, 1538, 1539, 1540, 1541, 1542, 1543, 1544, 1546, 1547, 1548, 1549, 1550, 1551, 1553, 1554, 1555, 1556, 1557, 1558, 1559, 1560, 1561, 1563, 1564, 1566, 1567, 1568, 1569, 1570, 1571, 1572, 1574, 1575, 1576, 1577, 1578, 1579, 1580, 1581, 1582, 1583, 1584, 1585, 1587, 1589, 1590, 1591, 1592, 1593, 1594, 1595, 1597, 1598, 1599, 1600, 1601, 1602, 1603, 1604, 1605, 1606, 1607, 1608, 1609, 1610, 1612, 1613, 1614, 1615, 1616, 1617, 1618, 1620, 1621, 1622, 1624, 1625, 1628, 1629, 1630, 1631, 1632, 1633, 1634, 1635, 1636, 1637, 1638, 1639, 1640, 1641, 1642, 1643, 1644, 1645, 1646, 1647, 1649, 1650, 1651, 1653, 1654, 1655, 1657, 1658, 1659, 1660, 1661, 1662, 1663, 1664, 1665, 1666, 1667, 1668, 1669, 1671, 1672, 1673, 1674, 1675, 1676, 1677, 1678, 1679, 1682, 1683, 1684, 1686, 1687, 1688, 1689, 1690, 1691, 1692, 1693, 1694, 1695, 1696, 1698, 1699, 1700, 1702, 1703, 1704, 1705, 1706, 1708, 1709, 1710, 1711, 1712, 1713, 1714, 1715, 1716, 1717, 1718, 1719, 1720, 1721, 1722, 1723, 1725, 1726, 1727, 1728, 1729, 1730, 1731, 1732, 1733, 1735, 1737, 1738, 1739, 1740, 1741, 1742, 1743, 1744, 1745, 1746, 1747, 1748, 1749, 1750, 1752, 1754, 1755, 1756, 1757, 1758, 1759, 1760, 1761, 1762, 1763, 1764, 1765, 1766, 1767, 1768, 1770, 1771, 1772, 1773, 1774, 1775, 1776, 1777, 1778, 1779, 1781, 1782, 1783, 1784, 1785, 1786, 1787, 1788, 1789, 1790, 1791, 1792, 1793, 1794, 1795, 1796, 1797, 1798, 1799, 1800, 1801, 1802, 1803, 1805, 1806, 1807, 1808, 1809, 1810, 1811, 1812, 1813, 1814, 1815, 1816, 1828, 1832, 1843, 1844, 1904, 1906, 1920, 1928, 1929, 1945, 1961, 1969, 1973, 1975, 1996]
egg	1	[128]
indemnity	1	[502]
survival	1	[1390]
november	1	[1398]
own	2	[34, 1851]
wall	1	[1926]
did	2	[750, 754]
chaplin	1	[357]
anne	1	[134]
ladder	1	[795]
guy	3	[676, 1491, 1771]
blonde	1	[637]
otis	1	[1431]
gerry	1	[639]
crazy	2	[675, 1568]
nosferatu	1	[1049]
adam	2	[59, 431]
faster	1	[572]
stitch	2	[886, 1367]
louis	1	[954]
vengeance	1	[478]
tron	1	[1879]
el	2	[537, 1732]
fog	1	[738]
zissou	1	[1628]
celtic	1	[353]
1974	3	[1328, 1559, 1768]
monty	3	[987, 988, 1558]
lumumba	1	[914]
holly	1	[1487]
dragonheart	1	[512]
cake	1	[868]
mcguire	1	[1637]
original	1	[1083]
mummy	3	[1674, 1675, 1676]
furious	2	[12, 1542]
passion	3	[1095, 1698, 1699]
raoul	1	[531]
haunting	1	[1587]
body	2	[257, 781]
black	12	[170, 234, 235, 236, 237, 420, 953, 960, 961, 1470, 1471, 1472]
catch	3	[344, 345, 1849]
pope	1	[1709]
munna	1	[1008]
anna	1	[133]
petes	1	[1110]
grace	1	[940]
wonderland	2	[84, 85]
angus	1	[131]
breaking	1	[279]
side	1	[1692]
hamlet	1	[679]
twist	1	[1066]
oliver	2	[1065, 1066]
dinosaur	1	[480]
rouge	2	[995, 996]
zero	1	[1391]
sundance	1	[314]
glenda	1	[647]
trading	1	[1872]
viii	1	[1715]
seven	6	[1268, 1269, 1270, 1271, 1322, 1650]
daylight	2	[446, 1636]
campobello	1	[1382]
soup	1	[519]
bulletproof	1	[307]
dalmatian	2	[1, 1074]
boondock	1	[1477]
reality	1	[1168]
m	2	[917, 1008]
divorcee	2	[1525, 1560]
iris	1	[782]
ma	1	[237]
anything	1	[141]
jungle	6	[238, 812, 1212, 1444, 1613, 1614]
kiss	5	[619, 839, 840, 1368, 1638]
1966	4	[184, 668, 773, 836]
name	1	[1018]
dusk	1	[625]
shop	2	[1749, 1750]
scissorhands	1	[535]
free	1	[617]
candle	1	[1311]
national	2	[1028, 1029]
bedroom	1	[767]
metropolis	1	[966]
sleeper	2	[1314, 1315]
village	1	[1796]
blow	1	[249]
be	2	[1568, 1848]
beat	1	[193]
crow	1	[1511]
7th	1	[1424]
jerry	1	[802]
fourteen	1	[610]
pork	1	[663]
einstein	1	[1987]
1983	1	[1245]
manchurian	1	[1655]
an	5	[116, 117, 118, 119, 120]
artificial	1	[32]
china	2	[229, 1497]
live	4	[755, 895, 1597, 1822]
valance	1	[1651]
heartbreaker	1	[701]
poppins	1	[945]
eyed	1	[1071]
jones	2	[776, 1854]
tangled	1	[1410]
1930	2	[990, 1461]
bank	1	[69]
lampoon	1	[1028]
1935	2	[331, 1605]
bengal	1	[1635]
rangeela	1	[1162]
do	3	[488, 1419, 1944]
island	3	[429, 910, 1609]
blob	1	[1473]
kong	3	[833, 834, 835]
wizard	2	[1809, 1810]
alive	1	[91]
v	7	[89, 616, 711, 712, 835, 843, 1526]
forgotten	1	[1555]
zhivago	1	[490]
cuckoo	1	[1759]
kana	1	[819]
wag	1	[1920]
check	1	[242]
above	1	[56]
coquette	1	[415]
runaway	1	[1217]
jam	1	[1337]
ikiru	1	[759]
reversal	1	[1180]
heart	6	[127, 749, 829, 836, 1046, 1958]
pumpkin	1	[1719]
if	2	[344, 758]
destiny	2	[454, 1001]
wolf	3	[435, 1414, 1811]
night	9	[40, 41, 54, 228, 269, 444, 623, 789, 1237]
deed	2	[999, 1000]
rat	1	[1164]
hope	1	[737]
powaqqatsi	1	[1129]
candidate	1	[1655]
bunny	1	[1486]
river	1	[1484]
maze	1	[950]
eater	1	[1719]
paradise	2	[1371, 1880]
samson	1	[1233]
few	1	[600]
rock	8	[170, 419, 796, 1195, 1251, 1550, 1733, 1959]
gay	1	[1560]
streak	2	[254, 1308]
amigo	1	[1831]
smith	1	[1003]
cid	1	[537]
ii	14	[165, 169, 218, 319, 326, 559, 644, 961, 962, 1197, 1387, 1553, 1566, 1990]
african	1	[1436]
sky	4	[253, 584, 1312, 1909]
hellraiser	1	[710]
lock	1	[897]
west	2	[1070, 1957]
antz	1	[139]
sporting	1	[1827]
cousin	1	[417]
fitzcarraldo	1	[589]
swati	1	[1394]
totoro	1	[1019]
success	2	[1399, 1959]
bandit	3	[180, 1320, 1842]
thunderdome	1	[922]
mary	4	[945, 946, 1456, 1820]
mambo	1	[932]
dreamer	1	[1528]
chocolate	1	[1961]
carry	1	[334]
blew	1	[732]
darling	3	[439, 891, 1015]
line	3	[48, 205, 770]
confession	2	[406, 407]
1952	2	[888, 996]
disturbance	1	[494]
nimh	1	[1744]
verdoux	1	[982]
luzhin	1	[1646]
word	2	[498, 1906]
patient	1	[1533]
allison	1	[705]
shark	1	[1289]
sweet	5	[1395, 1396, 1397, 1398, 1399]
gate	2	[546, 1684]
beast	5	[196, 210, 1275, 1453, 1454]
out	5	[30, 269, 1084, 1085, 1086]
bill	3	[230, 826, 827]
crystal	1	[1515]
kwai	1	[1484]
jason	1	[616]
1945	1	[470]
got	3	[1944, 1985, 1993]
saturday	1	[1237]
volcano	2	[804, 1919]
lust	1	[915]
tintin	2	[1843, 1844]
honey	3	[731, 732, 733]
uncle	1	[1900]
sundowner	1	[1766]
nicholas	1	[1038]
4	1	[878]
splendored	1	[907]
hidden	1	[1589]
boiler	1	[258]
cody	1	[69]
caine	1	[1492]
limelight	1	[888]
game	2	[603, 1351]
topsy	1	[1865]
ninotchka	1	[1040]
collateral	1	[397]
1994	3	[894, 1045, 1342]
drowning	1	[517]
private	4	[1137, 1240, 1715, 1716]
search	1	[1742]
year	4	[863, 1016, 1457, 1815]
poseidon	1	[1710]
crimson	2	[1509, 1510]
forrest	1	[606]
idiot	1	[1600]
atlantic	1	[152]
pizza	1	[1022]
elmos	1	[1352]
bwana	1	[323]
singer	1	[1800]
sea	3	[219, 787, 1741]
innocent	1	[1992]
deadly	1	[839]
squarepants	1	[1758]
mar	2	[592, 943]
nixon	1	[1042]
accused	1	[1427]
jimmy	1	[398]
1932	1	[1244]
cabinet	1	[1490]
jafar	1	[1730]
edtv	1	[526]
1922	1	[1190]
vanilla	1	[1909]
x2	1	[1978]
1986	4	[393, 939, 1325, 1669]
pleasantville	1	[1121]
wa	1	[1946]
cutthroat	1	[429]
end	1	[1904]
doctor	2	[489, 490]
doubt	1	[1276]
tillies	1	[1840]
doll	1	[163]
crowd	1	[1512]
kind	2	[389, 829]
according	1	[1575]
inferno	1	[1785]
smoking	1	[897]
towering	1	[1785]
bear	4	[171, 297, 1447, 1494]
catwoman	1	[349]
holocaust	1	[324]
each	1	[1851]
whale	2	[1801, 1939]
are	1	[472]
spoil	1	[1959]
broomstick	1	[198]
discreet	1	[1524]
taking	2	[1409, 1768]
ronin	1	[1207]
mountain	2	[396, 1673]
wimbledon	1	[1962]
cauldron	1	[1470]
sunshine	1	[554]
1937	2	[903, 1322]
christ	1	[1699]
tombstone	1	[1855]
yearling	1	[1816]
football	1	[1554]
dungeon	1	[525]
best	2	[1012, 1457]
guffman	1	[1921]
1915	1	[1610]
1996	8	[1, 295, 793, 948, 1402, 1432, 1598, 1890]
dwarf	1	[1322]
soldier	2	[1323, 1933]
8	2	[18, 158]
safe	1	[567]
dont	7	[268, 347, 451, 497, 498, 499, 1823]
ho	2	[300, 816]
charley	1	[361]
county	1	[1081]
white	7	[234, 688, 1322, 1582, 1653, 1949, 1950]
hauser	1	[1534]
bring	2	[288, 289]
jester	1	[1508]
veil	1	[1475]
italiano	1	[932]
slicker	1	[380]
golden	2	[1654, 1844]
butterfield	1	[158]
maggie	1	[1649]
meaning	1	[988]
starman	1	[1360]
clementine	1	[1015]
their	2	[34, 1829]
moonstruck	1	[989]
der	1	[465]
miss	1	[515]
gospel	1	[1575]
schindlers	1	[1250]
kameradschaft	1	[818]
tough	1	[1263]
sweetheart	1	[114]
ship	1	[1294]
paulie	1	[1100]
porco	1	[1126]
villa	1	[879]
rugrats	1	[1213]
buellers	1	[578]
naa	1	[816]
rotten	1	[484]
man	28	[37, 67, 464, 573, 717, 892, 933, 934, 1043, 1050, 1157, 1175, 1345, 1346, 1347, 1418, 1531, 1541, 1602, 1651, 1653, 1654, 1688, 1721, 1783, 1803, 1811, 1948]
sommersby	1	[1327]
greek	2	[1013, 1996]
oz	1	[1810]
9	1	[566]
grande	1	[849]
behind	2	[205, 1539]
wild	9	[1213, 1325, 1805, 1806, 1954, 1955, 1956, 1957, 1958]
glen	1	[647]
fischer	1	[1257]
